Word,Brief Definition,Long Definition,Synonyms,Antonyms,Video Url,Video Title,Context Paragraph
Abortive,One which is not accomplished.,"An abortive attempt at a project has risen away or begun to move from its original goal, and therefore cannot be completed.","curtail, decry, deleterious, diminution, disparage, excise, expurgate, extirpate, hapless, irresolute, malign, refrain, revile, untoward, vilify, vituperative","aegis, apposite, auspicious, benign, commodious, condign, countenance, ensconce, exhort, felicity, halcyon, laudatory, propitious, providential",https://cdn0.membean.com/video/examplevids/abortive.mp4,Space ShuttleAbort the launch!," Jayma was highly frustrated by her failed, abortive attempt to write her first novel.  The abortive effort at literary fame did not succeed as she thought it should, so she stopped at the third chapter.  Jayma decided to abort the project without further ado and cast the incomplete pages into the fireplace.  As she watched the abortive , unsuccessful narrative burst into flames, her thoughts turned toward another possible plot."
Abrasive,It disturbs the hearer because it’s sharp and harsh.,"Abrasive comments scrape or scratch away at you, and hence are “irritating,” just like an abrasive substance can “irritate” one’s skin by “scraping or rubbing” it.","ablation, acrid, acrimonious, attrition, burnish, defile, denigrate, disparage, lacerate, shard, vexing, vitriolic, vituperative","affable, amity, benign, complaisant, congenial, convivial, deify, dulcet, emollient, eulogy, extol, lionize, mollify",https://cdn0.membean.com/video/examplevids/abrasive.mp4,Real Housewives of New JerseyAn abrasive Dina stirs conflict in the neighborhood clique.," Wilma is an abrasive woman who is unpleasant to be around.  Her abrasive and irritating personality seems to rub everyone the wrong way.  The abrasive comments she makes to her own daughter are judgmental and harsh, leaving the poor child in tears.  My own mother uses a soft tone and gentle words—she is thankfully never rough, hateful, or abrasive ."
Abridge,"To reduce its length, usually in reference to a literary work.",To abridge a dictionary is to move towards a shorter version of it.,"bowdlerize, censure, curtail, diminution, efface, excise, laconic, pare, pithy, sententious, succinct, synoptic, terse, truncate","addendum, effusive, garrulous, grandiloquent, gratuitous, imbue, loquacious, peroration, plenary, preponderance, profusion, prolix, protracted, suffuse, verbose, voluble",https://cdn0.membean.com/video/examplevids/abridge.mp4,DilbertDogbert records an abridged audio version of his book.," The editor set out to abridge or cut the original text by first reading it in its full and lengthy form.  He could then isolate only those parts that he wanted to keep for his new, abridged version.  By abridging the drawn-out, extended book, he hoped to bring the work to a wider range of readers."
Abrogate,End it by using legal and authoritative channels.,"To abrogate something is to ask it to go away from you, or request that it be from you.","abate, abjure, abolish, abortive, annulment, circumvent, contravene, elude, gainsay, impugn, obviate, parry, recant, renege, repudiate, rescind, statutory","abet, accede, acquiesce, approbation, corroborate, engender, expedite, ineluctable, irrevocable, precipitate, transgress",https://cdn0.membean.com/video/examplevids/abrogate.mp4,," To abrogate or stop the selling of clothes and magazines on the corner by his office, the annoyed lawyer confirmed the zoning of the area.  He petitioned to abrogate and thereby officially end the practice of turning a profit so near his practice.  Once the local court had abrogated or canceled such dealings, perhaps business would increase for him by making the approach to his office non-threatening."
Abscond,A thief is escaping from jail with stolen jewels.,"When you abscond, you hide away or put yourself away from a place.","artifice, beguile, canard, circumvent, clandestine, covert, duplicity, elude, facade, feint, finesse, furtive, gambit, latent, machination, subterfuge, surreptitious, wile","abortive, accost, bedevil, beleaguer, beset, coerce, contravene, divulge, duress, exude, incarcerate, ingenuous, overt, palpable, patent, propriety, tangible",https://cdn0.membean.com/video/examplevids/abscond.mp4,The Thin Blue LineNatalie mysteriously absconds under the cover of darkness.," In order to abscond or escape from the pirate crew’s cave, the prisoner rubbed the ropes that tied his wrists against a sharp rock in the hope of freeing himself.  Once his hands were free, he quickly and silently absconded , hiding himself in a nearby woods.  In his clever stealth, the escaped captive did not forget to abscond or run away with a portion of the pirates’ gold coins!"
Absolve,Let everyone know that they did nothing wrong.,To absolve another is to “untie (him) from” or “loosen (her) away” from guilt.,"clemency, condone, exculpate, exonerate, expiate, unsullied, venial, vindicate","arraign, censure, culpable, decry, defile, denigrate, denounce, enormity, foible, impugn, insinuation, pariah, peccadillo, taint, unremitting, vituperative",https://cdn0.membean.com/video/examplevids/absolve.mp4,Hot FuzzWill the security tapes absolve him of committing the crime?," To my great relief, the principal said that he would absolve me of all responsibility for the playground fight, which had not been my fault.  I was happy to be absolved and cleared of this small crime, as I always follow the rules.  The boy who started the fight absolved or freed me from blame as well by publicly admitting that he had caused the problem.  These two acts of absolution freed me from any blame for the conflict."
Abstemious,"One consumes food and drink in a balanced, non-excessive way.",One is being abstemious when one is of the nature of keeping alcoholic drinks away or from oneself.,"abstinence, austere, frugal, parsimonious, spartan, teetotaler","acquisitive, covet, desiderata, epicurean, exorbitant, flagrant, inordinate, insatiable, prodigal, profligate, rapacious, ravenous, unbridled, voracious",https://cdn0.membean.com/video/examplevids/abstemious.mp4,," Helga’s abstemious lifestyle kept her from ordering the double chocolate cake at dinner.  In an abstemious effort to eat in a balanced fashion, Helga enjoyed the chicken and fresh fennel salad, but rejected dessert altogether.  Likewise, her abstemious habits kept her from ordering the white wine that was recommended with the meal.  Such abstemious , moderate, and cautious dining practices seemed extreme, but they did keep Helga healthy."
Abstinence,Denying oneself a practice or substance.,Abstinence is the “state of holding away or from” something.,"abnegation, abstemious, austere, curtail, eschew, frugal, parsimonious, refrain, reticent, spartan, teetotaler","acquisitive, covet, desiderata, epicurean, exorbitant, galvanize, imbibe, inordinate, insatiable, prodigal, rapacious, ravenous, unbridled, voracious, wanton",https://cdn0.membean.com/video/examplevids/abstinence.mp4,American PsychoAbstinence from sorbet is for him but not for her.," I grew up among a strict, religious community in which abstinence from any kind of drug or alcohol was the rule.  Our family agreed to also practice abstinence from tobacco and caffeine, and even to keep away from dancing and singing.  This abstinence or self-denial was intended to keep our minds clear and healthy."
Abstruse,They would feel frustrated because it is so challenging.,"If a concept is thrust from or pushed away from you, it is difficult for your intellect to seize, and hence is abstruse.","addle, arcane, byzantine, confound, conundrum, enigmatic, erudite, esoteric, formidable, garbled, inscrutable, nebulous, obfuscate, opaque, paradox, profundity, recondite, turbid","decipher, denouement, divulge, elucidate, evince, exegesis, explicate, facile, fathom, gloss, gossamer, overt, pedagogy, prosaic, unadorned, unlettered",https://cdn0.membean.com/video/examplevids/abstruse.mp4,TanUv90This is one abstruse explanation!," Many higher mathematical concepts are considered abstruse due to their highly complex and difficult nature.  Likewise, Einstein’s theories of general and special relativity may seem abstruse or hard to understand for those who have not studied the finer points of physics.  While involved, abstruse theories may be hidden to one’s mind or puzzling, they often are worth studying to give one new insights into life."
Abysmal,One that is horribly awful.,An abysmal mood is so dark and depressing that it seems “without a bottom.”,"abject, abominate, depravity, deprecate, desecrate, despicable, despondent, enormity, gargantuan, hapless, maleficent, malevolent, odious, plummet, prodigious, squalor, stultify, taint, vexing, vitiate, vitriolic","ameliorate, apposite, blithe, buoyant, complaisant, condign, decorous, extol, impassive, lionize, mitigate, mollify, nonchalant, pristine, requisite, unsullied, venerable",https://cdn0.membean.com/video/examplevids/abysmal.mp4,ScrubsThis doctor's explanation of how to recognize a heart murmur was apparently abysmal.," Having a miserable bout of the flu on her birthday was an abysmal occurrence for Olivia.  Not only did Olivia feel truly ill, but she also felt abysmally and completely sad since she knew her friends were planning a surprise party.  Sitting on her couch with a cup of herbal tea and a box of tissues, she considered the deep, dark abyss or deep pit of her foul mood.  There seemed no way to brighten her abysmal and extremely poor outlook on this disappointing birthday."
Accede,You reluctantly agree to your parent’s demand that you be home early.,To “yield to” another’s demands is to accede to them.,"acquiesce, amenable, capitulate, cede, complaisant, deference, deign, docile, espouse, obeisance, obsequious, pliant, relegate, servile","abnegation, circumvent, contentious, contravene, contumacious, disaffected, factious, fractious, gainsay, incorrigible, intractable, irreconcilable, obstinate, obstreperous, recalcitrant, refractory, sedition, waver",https://cdn0.membean.com/video/examplevids/accede.mp4,My Little Pony: Friendship is MagicAt long last Fluttershy accedes.," After the persuasive speech presented by her opponent, Jill had no option but to accede to Ryan’s requests.  In acceding to his political proposition, Jill set aside her caution and accepted his ideas.  To accede to his victory in their debate caused her discomfort, but her support of the process demanded that she be fair.  Jill had been the champion of the debate team, but Ryan now acceded to that honorable post."
Accentuate,Draw attention to it.,Something’s or someone’s attractiveness is accentuated when it beautifully sings towards or sings at another.,"belabor, evince, flamboyant, gilded, opulent, ornate, ostentatious, preen, pulchritude, punctuate, resplendent, scintillating, sumptuous","austere, homogeneous, minuscule, mundane, prosaic, spartan, unadorned, unassuming, unobtrusive, unprepossessing",https://cdn0.membean.com/video/examplevids/accentuate.mp4,"Aretha FranklinHer classic recording of ""Accentuate the Positive."""," My sister Charlotte is an attractive girl, and she enjoys wearing clothes that both accentuate her beauty and catch the attention of the people around her.  My mother usually buys Charlotte clothes that don’t accentuate her beauty so much, fearing that she might get too much attention.  She thinks that Charlotte is vain about how she looks, and would prefer that she act in ways that accentuate or highlight her intelligence instead."
Acclimate,To adapt until you become used to it.,"The idea here is that as one “slopes to” or “leans towards” a particular situation or “zone of the Earth,” one gradually “acclimates” to it.","ameliorate, amenable, amenity, apposite, commodious, condign, docile, inured, malleable, mitigate, mollify, plastic, pliant","intransigent, irrevocable, obdurate, obstreperous, recant, renege, rescind, unfeasible",https://cdn0.membean.com/video/examplevids/acclimate.mp4,YouTube: MonkeyseeIt's often necessary for athletes to acclimate to high altitudes.," In an effort to acclimate and adjust to his new surroundings, Frank unpacked his trunk and put things in order.  It was Frank’s first apartment, and acclimating and adapting to the loud sounds of the city would take time.  Frank had a knack for acclimating and getting used to the novel or strange happenings in his life.  Surely this period in his life would unfold smoothly until he felt at home by becoming fully acclimated to the city."
Accost,To approach them angrily and demand something.,"The notion is that, when you accost someone, you go “towards his side,” “at his rib,” or “to his flank.”","angst, bedevil, beleaguer, beset, cavalier, coerce, disquiet, duress, solicitous, supplicant","affable, bastion, buttress, chivalrous, circumvent, complaisant, compunction, contravene, debonair, deference, elude, impassive, insouciance, nonchalant, oblivious, parry, politic, quell, sidle, subterfuge",https://cdn0.membean.com/video/examplevids/accost.mp4,Back to the FutureBiff accosts McFly.," Given the shy behavior of her boyfriend, Bertha saw no option but to accost or boldly approach him at his apartment.  Bold Bertha banged on Gilbert’s door and accosted him by violently yelling his name as he opened the door.  Unused to such sharp behavior, the poor fellow felt accosted and highly bothered by her challenging words and shut the door in her face."
Accoutrement,An essential extra that belongs to a specific activity or state.,An accoutrement is something that is specifically “sewn together towards or on behalf of” a particular activity that one does.,"addendum, adjunct, adventitious, ancillary, appurtenance, augment, concomitant, entourage","abridge, attrition, cardinal, crux, curtail, diminution, efface, excise, pare",https://cdn0.membean.com/video/examplevids/accoutrement.mp4,Stargate SG-1The sleeping platforms don't need accoutrements since they adjust automatically to body temperature.," A soldier’s uniform generally includes several accoutrements or accessories in addition to the clothing itself: belt, weapon, communication device, etc.  Originally a military term, the word accoutrement is now used to describe the extra gear of any specific activity or status.  The accoutrements of wealth, for example, might include expensive cars or vacation homes; the accoutrements of a professional gymnast might involve a balance beam, the rings, chalk, and uniforms."
Accretion,The gradual build-up of sediment in a river delta.,Accretion is the act or state of growing towards a greater whole.,"addendum, adherent, adjunct, adventitious, agglomerate, aggregate, amalgamate, ancillary, appurtenance, augment, coagulate, concomitant, conflate, congeal, crescendo, entourage","ablation, abolish, abridge, attrition, diminution, disseminate, dissolution, efface, excise, pare, rarefy, sporadic",https://cdn0.membean.com/video/examplevids/accretion.mp4,Rime GrowthWater in the form of ice undergoing accretion on a rod.," The accretion of water droplets gradually filling the tin bucket echoed in the attic room.  Such accretion was the result of a heavy rain slowly leaking through the faulty roof.  As the droplets accreted , Tina thought it time to empty the bucket, as it was almost full.  She didn’t mind the accretion or building-up of rainwater in the bucket as long as it didn’t spill onto the floor."
Acerbic,"One that is biting, harsh, and often judgmental.","Acerbic remarks are “characterized by” being “bitter, sharp, or tart.”","abrasive, acrid, acrimonious, astringent, caustic, decry, incisive, pungent, rancor, trenchant, unsavory, virulent, vitriolic","affable, clemency, congenial, debonair, dulcet, mellifluous, unscathed",https://cdn0.membean.com/video/examplevids/acerbic.mp4,," Curt’s acerbic , sharp wit often reflected a quick intelligence as he delivered clever turns of phrase.  However, his acerbic , bitter remarks earned him little trust from his friends, as they knew that they too could become targets of his biting judgments.  Curt earned his living as a film critic, giving acerbic and harsh opinions about movies."
Acme,The highest measurement of its existence or action.,The acme of achievement often exists as a singular point towards which all effort has been pointing.,"apex, apogee, apotheosis, crescendo, cynosure, denouement, hegemony, paragon, pinnacle, zenith","attenuate, debility, effete, nadir",https://cdn0.membean.com/video/examplevids/acme.mp4,YouTube: Nastia Liukin Wins GoldThe acme of any gymnast's career is to win Olympic gold.," When a cruel and selfish dictator reaches the acme or topmost point of his power, there is little that the population can do.  Such rulers are often allowed to live in the acme or height of abundance, spending money on luxuries while their countrymen lack the necessities of life.  Many consider this centralized form of government to be the acme or peak of irresponsibility in which rulers triumph and those who are ruled by them suffer many injustices."
Acolyte,A dedicated teaching assistant who helps a college professor.,One is an acolyte when one “follows at” the heels of another.,"adherent, advocate, affiliation, coalition, coterie, exponent, fawn, ingratiate, lackey, minion, obsequious, servile, subjugate, subservient, sycophant","autocratic, autonomous, cynosure, despot, factious, luminary, nonpartisan, pantheon, pariah, patriarch, plenipotentiary, potentate, totalitarianism",https://cdn0.membean.com/video/examplevids/acolyte.mp4,Legend of the SeekerSerena reflects back on her days as Zeddicus's acolyte.," As an acolyte of the governor’s campaign, volunteer Val gladly completed any task that supported its forward momentum.  The acolyte voiced the candidate’s views while taking polls, and he even served by making coffee for the workers in the office.  Val saw himself as a helper who carried a noble banner of ideas into the world, joining other willing acolytes or assistants in the pursuit of votes."
Acquiesce,You agree with them despite any doubts.,"To acquiesce to another’s request is to “rest, stay calm, or be still towards” it, thereby not expending any energy in getting one’s own way, but rather being quiet and reserved when it comes to one’s own opinions.","accede, amenable, capitulate, cede, condone, countenance, deference, demure, docile, fealty, ingratiate, malleable, obeisance, patronize, plastic, pliant, propitiate, servile, subservient","abnegation, antipathy, contravene, demur, fractious, incorrigible, intractable, obdurate, obstreperous, proscribe, recalcitrant, refractory, reprobate",https://cdn0.membean.com/video/examplevids/acquiesce.mp4,Monty Python's Flying CircusShe at last acquiesces to his request., Paula found it easier to acquiesce or give in to her mother’s request to travel to Idaho than to argue with her about it.  To acquiesce or agree to her mother’s plans would save emotional energy and time for them both.  Paula’s acquiescent or accepting nature sought to avoid conflict and often put others’ needs before her own.
Acquisitive,To be driven by the desire to accumulate objects.,"When a person is acquisitive, he “seeks, asks, or strives to or toward” getting objects of value for himself.","affluence, avarice, covet, pillage, rapacious, voracious","abstemious, abstinence, altruistic, austere, disinterested, frugal, largess, magnanimity, parsimonious, philanthropy, satiate, spartan, teetotaler",https://cdn0.membean.com/video/examplevids/acquisitive.mp4,"Dead Like MeChris is disturbed by Daisy's acquisitive nature, and will not give up his painting."," Hunter’s acquisitive tendencies contributed to his vast collection of antiques.  This acquisitive habit led him to auctions in far-off places to acquire elegant and expensive pieces.  His steady acquisition of paintings, furniture, and anything he considered collectible eventually forced him to buy a bigger house as well."
Acrid,One that is bitter and sharp in its taste or smell.,"Acrid smells or comments are “sharp, keen, or fierce” to the nose or to the mind.","abrasive, acerbic, acrimonious, astringent, brackish, caustic, decry, poignant, rancor, trenchant, unsavory, virulent, vitriolic","affable, benign, clemency, congenial, debonair, delectable, dulcet, innocuous, mellifluous, palatable, salubrious, unscathed",https://cdn0.membean.com/video/examplevids/acrid.mp4,Pee Wee's Big AdventureThe acrid smoke of the fire finally does Pee Wee in.," Bitter, acrid smoke billowed out of the warehouse as the fire gained strength.  The firefighters used their masks to keep the acrid , burning fumes out of their lungs, but breathing was still difficult near the entrance engulfed by black smoke.  The few employees still remaining in the building coughed and choked on the biting, acrid smoke as they ran toward the exits.  Many of the rescued employees used harsh, bitter, and acrid language to describe their anger at the building’s lack of safety."
Acrimonious,Bitter and fierce.,"An acrimonious relationship “resembles” one that is “sharp, keen, or fierce,” that is, not particularly loving in nature.","abrasive, acerbic, acrid, animus, antipathy, asperity, astringent, captious, caustic, cavil, contentious, decry, denigrate, irascible, rancor, trenchant, vehement, virulent, vitriolic","affable, benign, clemency, complaisant, congenial, dulcet, innocuous, unscathed",https://cdn0.membean.com/video/examplevids/acrimonious.mp4,"ABC This WeekDebates between the parties are, as usual, acrimonious."," Relations between the two schools have always been bitter and acrimonious .  The rivalry remains so great that even the recent chess match became an acrimonious and angry event, with each side accusing the other of cheating.  The students at each school are acrimonious and resentful in their intense dislike for each other, using harsh language to insult their rivals."
